Constantine,قسنطينة,Neuquén,Neuquén,,Paraíba,Paraíba,Tarapacá,Tarapacá,Hunan,湖南,湖南,Cundinamarca,Cundinamarca,María Trinidad Sánchez,María Trinidad Sánchez,As Suways,محافظة السويس,,,Schleswig-Holstein,Schleswig-Holstein,,,Retalhuleu,Retalhuleu,Somogy,Somogy,Karnataka,Kalimantan Timur,Kalimantan Timur,Sicily,Sicily,Ishikawa,石川県,Kirinyaga,Sejong,세종특별자치시,Selangor,Selangor,雪兰莪,México,México,Taza - Al Hoceima - Taounate,تازة - الحسيمة - تاونات,Federal Capital Territory (Abuja),Lima,Lima,Bohol,Bohol,Wielkopolskie,Wielkopolskie,Constanța,Constanța,Dagestan,Республика Дагестан,,,,,,,La Rioja,La Rioja,Stockholm,Stockholm,Obwalden,Obwalden,Obwalden,Obwalden,,,,Kamphaeng Phet,จังหวัดกำแพงเพชร,Bayburt,Bayburt,,,Luhans'k,Луганська,Indiana,Đà Nẵng,Đà Nẵng
Djelfa,ولاية الجلفة,Río Negro,Río Negro,,Paraná,Paraná,Valparaíso,Valparaíso,Jiangsu,江蘇|江苏,江蘇|江蘇,Guainía,Guainía,Monseñor Nouel,Monseñor Nouel,Ash Sharqiyah,محافظة الشرقية‎,,,Thuringia,Thüringen,,,Sacatepéquez,Sacatepéquez,Szabolcs-Szatmár-Bereg,Szabolcs-Szatmár-Bereg,Kerala,Kalimantan Utara,Kalimantan Utara,Toscana,Toscana,Iwate,岩手県,Kisii,Seoul,서울특별시,Trengganu,Trengganu,登嘉楼,Michoacán,Michoacán,,,Gombe,Lima Province,Lima Province,Bukidnon,Bukidnon,Zachodniopomorskie,Zachodniopomorskie,Covasna,Covasna,Gorno-Altay,Республика Алтай,,,,,,,País Vasco,País Vasco,Uppsala,Uppsala,Sankt Gallen,Sankt Gallen,Sankt Gallen,Sankt Gallen,,,,Kanchanaburi,อำเภอเมืองกาญจนบุรี,Bilecik,Bilecik,,,Mykolayiv,Миколаївська,Iowa,Đắk Lắk,Đắk Lắk
El Bayadh,ولاية البيض,Salta,Salta,,Pernambuco,Pernambuco,,,Jiangxi,江西,江西,Guaviare,Guaviare,Monte Cristi,Monte Cristi,Aswan,محافظة أسوان,,,,,,,San Marcos,San Marcos,Tolna,Tolna,Lakshadweep,Kepulauan Riau,Kepulauan Riau,Trentino-Alto Adige,Trentino-Alto Adige,Kagawa,香川県,Kisumu,Ulsan,울산광역시,,,,Morelos,Morelos,,,Imo,Loreto,Loreto,Bulacan,Bulacan,,,Dâmbovița,Dâmbovița,Ingush,Респу́блика Ингуше́тия,,,,,,,Principado de Asturias,Principado de Asturias,Värmland,Värmland,Schaffhausen,Schaffhausen,Schaffhausen,Schaffhausen,,,,Khon Kaen,จังหวัดขอนแก่น,Bingöl,Bingöl,,,Odessa,Одеська,Kansas,Đắk Nông,Đắk Nông
El Oued,ولاية الوادي,San Juan,San Juan,,Piauí,Piauí,,,Jilin,吉林,吉林,Huila,Huila,Monte Plata,Monte Plata,Asyut,أسيوط,,,,,,,Santa Rosa,Santa Rosa,Vas,Vas,Madhya Pradesh,Lampung,Lampung,Umbria,Umbria,Kagoshima,鹿児島県,Kitui,,,,,,Nayarit,Nayarit,,,Jigawa,Madre de Dios,Madre de Dios,Cagayan,Cagayan,,,Dolj,Dolj,Irkutsk,Иркутская область,,,,,,,Región de Murcia,Región de Murcia,Västerbotten,Västerbotten,Schwyz,Schwyz,Schwyz,Schwyz,,,,Krabi,จังหวัดกระบี่,Bitlis,Bitlis,,,Poltava,Полтавська,Kentucky,Điện Biên,Điện Biên
El Tarf,ولاية الطارف,San Luis,San Luis,,Rio de Janeiro,Rio de Janeiro,,,Liaoning,遼寧|辽宁,遼寧|遼寧,La Guajira,La Guajira,Pedernales,Pedernales,Bani Suwayf,محافظة بنى سويف,,,,,,,Sololá,Sololá,Veszprém,Veszprém,Maharashtra,Maluku,Maluku,Valle d'Aosta,Valle d'Aosta,Kanagawa,神奈川県,Kwale,,,,,,Nuevo León,Nuevo León,,,Kaduna,Moquegua,Moquegua,Camarines Norte,Camarines Norte,,,Galați,Galați,Ivanovo,Ивановская область,,,,,,,,,Västernorrland,Västernorrland,Solothurn,Solothurn,Solothurn,Solothurn,,,,Lampang,จังหวัดลำปาง,Bolu,Bolu,,,Rivne,Рівненська,Louisiana,Đồng Nai,Đồng Nai
Ghardaïa,ولاية غرداية,Santa Cruz,Santa Cruz,,Rio Grande do Norte,Rio Grande do Norte,,,Macau,澳门,澳門,Magdalena,Magdalena,Peravia,Peravia,Bur Sa`id,محافظة بورسعيد,,,,,,,Suchitepéquez,Suchitepéquez,Zala,Zala,Manipur,Maluku Utara,Maluku Utara,Veneto,Veneto,Kochi,高知県,Laikipia,,Johor,,,,Oaxaca,Oaxaca,,,Kano,Pasco,Pasco,Camarines Sur,Camarines Sur,,,Giurgiu,Giurgiu,Kabardin-Balkar,Кабардино-Балкарская Республика,,,,,,,,,Västmanland,Västmanland,Thurgau,Thurgau,Thurgau,Thurgau,,,,Lamphun,จังหวัดลำพูน,Burdur,Burdur,,,Sevastopol',Севастополь,Maine,Đồng Tháp,Đồng Tháp
Guelma,ولاية قالمة,Santa Fe,Santa Fe,,Rio Grande do Sul,Rio Grande do Sul,,,Nei Mongol,內蒙古自治區|内蒙古自治区,內蒙古自治區|內蒙古自治區,Meta,Meta,Puerto Plata,Puerto Plata,Dumyat,دمياط,,,,,,,Totonicapán,Totonicapán,,,Meghalaya,Nusa Tenggara Barat,Nusa Tenggara Barat,,,Kumamoto,熊本県,Lamu,,Kedah,,,,Puebla,Puebla,,,Katsina,Piura,Piura,Camiguin,Camiguin,,,Gorj,Gorj,Kaliningrad,Калининградская область,,,,,,,,,Västra Götaland,Västra Götaland,Ticino,Ticino,Ticino,Ticino,,,,Loei,จังหวัดเลย,Bursa,Bursa,,,Sumy,Сумська,Maryland,Gia Lai,Gia Lai
Illizi,ولاية اليزي,Santiago del Estero,Santiago del Estero,,Rondônia,Rondônia,,,Ningxia Hui,寧夏回族自治區|宁夏回族自治区,寧夏回族自治區|寧夏回族自治區,Nariño,Nariño,Salcedo,Salcedo,Janub Sina',محافظة جنوب سيناء,,,,,,,Zacapa,Zacapa,,,Mizoram,Nusa Tenggara Timur,Nusa Tenggara Timur,,,Kyoto,京都府,Machakos,,Kelantan,,,,Querétaro,Querétaro,,,Kebbi,Puno,Puno,Capiz,Capiz,,,Harghita,Harghita,Kalmyk,Республика Калмыкия,,,,,,,,,,,Uri,Uri,Uri,Uri,,,,Lop Buri,ลพบุรี,Çanakkale,Çanakkale,,,Ternopil',Тернопільська,Massachusetts,Hà Giang,Hà Giang
Jijel,ولاية جيجل,Tierra del Fuego,Tierra del Fuego,,Roraima,Roraima,,,Qinghai,青海,青海,Norte de Santander,Norte de Santander,Samaná,Samaná,Kafr ash Shaykh,محافظة كفر الشيخ,,,,,,,,,,,Nagaland,Papua,Papua,,,Mie,三重県,Makueni,,Kuala Lumpur,,,,Quintana Roo,Quintana Roo,,,Kogi,San Martín,San Martín,Catanduanes,Catanduanes,,,Hunedoara,Hunedoara,Kaluga,Калужская область,,,,,,,,,,,Valais,Valais,Valais,Valais,,,,Mae Hong Son,จังหวัดแม่ฮ่องสอน,Çankiri,Çankiri,,,Vinnytsya,Вінницька,Michigan,Hà Nam,Hà Nam
Khenchela,ولاية خنشلة,Tucumán,Tucumán,,Santa Catarina,Santa Catarina,,,Shaanxi,陝西|陕西,陝西|陝西,Putumayo,Putumayo,San Cristóbal,San Cristóbal,Matrouh,محافظة مطروح,,,,,,,,,,,NCT of Delhi,Papua Barat,Papua Barat,,,Miyagi,宮城県,Mandera,,Labuan,,,,San Luis Potosí,San Luis Potosí,,,Kwara,Tacna,Tacna,Cavite,Cavite,,,Ialomița,Ialomița,Kamchatka,Камчатская край,,,,,,,,,,,Vaud,Vaud,Vaud,Vaud,,,,Maha Sarakham,จังหวัดมหาสารคาม,Çorum,Çorum,,,Volyn,Волинська,Minnesota,Hà Nội,Hà Nội
Laghouat,ولاية الأغواط,,,,São Paulo,São Paulo,,,Shandong,山東|山东,山東|山東,Quindío,Quindío,San José de Ocoa,San José de Ocoa,Qina,محافظة قنا,,,,,,,,,,,Odisha,Riau,Riau,,,Miyazaki,宮崎県,Marsabit,,Melaka,,,,Sinaloa,Sinaloa,,,Lagos,Tumbes,Tumbes,Cebu,Cebu,,,Iași,Iași,Karachay-Cherkess,Карачаево-Черкессия Республика,,,,,,,,,,,Zug,Zug,Zug,Zug,,,,Mukdahan,จังหวัดมุกดาหาร,Denizli,Denizli,,,Zakarpattia,Закарпатська,Mississippi,Hà Tĩnh,Hà Tĩnh
M'Sila,ولاية المسيلة,,,,Sergipe,Sergipe,,,Shanghai,上海|上海,上海|上海,Risaralda,Risaralda,San Juan,San Juan,Shamal Sina',محافظة شمال سيناء,,,,,,,,,,,Puducherry,Sulawesi Barat,Sulawesi Barat,,,Nagano,長野県,Meru,,Negeri Sembilan,,,,Sonora,Sonora,,,Nasarawa,Ucayali,Ucayali,Compostela Valley,Compostela Valley,,,Ilfov,Ilfov,Karelia,Республика Карелия,,,,,,,,,,,Zürich,Zürich,Zürich,Zürich,,,,Nakhon Nayok,จังหวัดนครนายก,Diyarbakir,Diyarbakir,,,Zaporizhia,Запорізька,Missouri,Hải Dương,Hải Dương
Mascara,ولاية معسكر,,,,Tocantins,Tocantins,,,Shanxi,山西,山西,San Andrés y Providencia,San Andrés y Providencia,San Pedro de Macorís,San Pedro de Macorís,Suhaj,سوهاج,,,,,,,,,,,Punjab,Sulawesi Selatan,Sulawesi Selatan,,,Naoasaki,長崎県,Migori,,Pahang,,,,Tabasco,Tabasco,,,Niger,,,Davao del Norte,Davao del Norte,,,Maramureș,Maramureș,Kemerovo,Кемеровская область,,,,,,,,,,,,,,,,,,Nakhon Pathom,อำเภอเมืองนครปฐม,Düzce,Düzce,,,Zhytomyr,Житомирська,Montana,Hải Phòng,Hải Phòng
Médéa,ولاية المدية,,,,,,,,Sichuan,四川,四川,Santander,Santander,Sánchez Ramírez,Sánchez Ramírez,,,,,,,,,,,,,Rajasthan,Sulawesi Tengah,Sulawesi Tengah,,,Nara,奈良県,Mombasa,,Perak,,,,Tamaulipas,Tamaulipas,,,Ogun,,,Davao del Sur,Davao del Sur,,,Mehedinți,Mehedinți,Khabarovsk,Хабаровский край,,,,,,,,,,,,,,,,,,Nakhon Phanom,จังหวัดนครพนม,Edirne,Edirne,,,,,Nebraska,Hậu Giang,Hậu Giang
Mila,ولاية ميلة,,,,,,,,Tianjin,天津|天津,天津|天津,Sucre,Sucre,Santiago,Santiago,,,,,,,,,,,,,Sikkim,Sulawesi Tenggara,Sulawesi Tenggara,,,Niigata,新潟県,Murang'a,,Perlis,,,,Tlaxcala,Tlaxcala,,,Ondo,,,Davao Oriental,Davao Oriental,,,Mureș,Mureș,Khakass,Республика Хакасия,,,,,,,,,,,,,,,,,,Nakhon Ratchasima,จังหวัดนครราชสีมา,Elazığ,Elazığ,,,,,Nevada,Hồ Chí Minh,Hồ Chí Minh
